MatchID,TournamentID,StartDate,EndDate,TournamentTitle,TournamentCountry,TournamentContinent,Indoor/Outdoor,TournamentSurface,TournamentLevel,MainDrawSize,Qualifier/Main,Round,WinnerRank,WinnerFirstName,WinnerLastName,WinnerCountry,WinnerContinent,LoserRank,LoserFirstName,LoserLastName,LoserCountry,LoserContinent,WinnerSetsWon,WinnerSetsLost,LoserSetsWon,LoserSetsLost,WinnerGamesWon,WinnerGamesLost,LoserGamesWon,LoserGamesLost,Set1WinnerScore,Set1LoserScore,Set2WinnerScore,Set2LoserScore,Set3WinnerScore,Set3LoserScore,Set4WinnerScore,Set4LoserScore,Set5WinnerScore,Set5LoserScore,Walkover,Retired
1,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,26,Alejandro,Davidovich Fokina,Spain,Europe,79,Thiago,Seyboth Wild,Brazil,South America,2,0,0,2,12,4,4,12,6,4,6,0,0,0,0,0,0,0,No,No
2,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,18,Cameron,Norrie,Great Britain,Europe,12,Alex,De Minaur,Australia,Oceania,2,1,1,2,15,16,16,15,6,4,2,6,7,6,0,0,0,0,No,No
3,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,7,Alexander,Zverev,Germany,Europe,46,Lorenzo,Sonego,Italy,Europe,2,1,1,2,18,14,14,18,6,7,6,3,6,4,0,0,0,0,No,No
4,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,11,Casper,Ruud,Norway,Europe,23,Tallon,Griekspoor,Netherlands,Europe,2,0,0,2,12,7,7,12,6,3,6,4,0,0,0,0,0,0,No,No
5,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,58,Zhizhen,Zhang,China,Asia,31,Jiri,Lehecka,Czechia,Europe,2,1,1,2,17,14,14,17,5,7,6,3,6,4,0,0,0,0,No,No
6,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,9,Hubert,Hurkacz,Poland,Europe,79,Thiago,Seyboth Wild,Brazil,South America,2,1,1,2,18,12,12,18,6,7,6,2,6,3,0,0,0,0,No,No
7,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,1,Novak,Djokovic,Serbia,Europe,58,Zhizhen,Zhang,China,Asia,2,0,0,2,12,5,5,12,6,3,6,2,0,0,0,0,0,0,No,No
8,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,19,Nicolas,Jarry,Chile,South America,314,Steven,Diaz,Canada,North America,2,0,0,2,13,9,9,13,7,5,6,4,0,0,0,0,0,0,No,No
9,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,10,Taylor,Fritz,United States,North America,18,Cameron,Norrie,Great Britain,Europe,2,0,0,2,13,10,10,13,7,6,6,4,0,0,0,0,0,0,No,No
10,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,11,Casper,Ruud,Norway,Europe,37,Borna,Coric,Croatia,Europe,2,0,0,2,12,5,5,12,6,4,6,1,0,0,0,0,0,0,No,No
11,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,7,Alexander,Zverev,Germany,Europe,22,Adrian,Mannarino,France,Europe,2,1,1,2,16,13,13,16,4,6,6,4,6,3,0,0,0,0,No,No
12,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,12,Alex,De Minaur,Australia,Oceania,10,Taylor,Fritz,United States,North America,2,0,0,2,12,6,6,12,6,4,6,2,0,0,0,0,0,0,No,No
13,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,26,Alejandro,Davidovich Fokina,Spain,Europe,9,Hubert,Hurkacz,Poland,Europe,2,1,1,2,15,13,13,15,3,6,6,3,6,4,0,0,0,0,No,No
14,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,37,Borna,Coric,Croatia,Europe,23,Tallon,Griekspoor,Netherlands,Europe,2,0,0,2,13,10,10,13,7,6,6,4,0,0,0,0,0,0,No,No
15,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,1,Novak,Djokovic,Serbia,Europe,31,Jiri,Lehecka,Czechia,Europe,2,1,1,2,18,9,9,18,6,1,6,7,6,1,0,0,0,0,No,No
16,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,19,Nicolas,Jarry,Chile,South America,6,Stefanos,Tsitsipas,Greece,Europe,2,1,1,2,16,14,14,16,6,3,3,6,7,5,0,0,0,0,No,No
17,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,22,Adrian,Mannarino,France,Europe,46,Lorenzo,Sonego,Italy,Europe,2,0,0,2,12,8,8,12,6,4,6,4,0,0,0,0,0,0,No,No
18,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,RR,6,Stefanos,Tsitsipas,Greece,Europe,314,Steven,Diaz,Canada,North America,2,0,0,2,12,5,5,12,6,2,6,3,0,0,0,0,0,0,No,No
19,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,QF,12,Alex,De Minaur,Australia,Oceania,1,Novak,Djokovic,Serbia,Europe,2,0,0,2,12,8,8,12,6,4,6,4,0,0,0,0,0,0,No,No
20,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,QF,9,Hubert,Hurkacz,Poland,Europe,58,Zhizhen,Zhang,China,Asia,2,0,0,2,12,7,7,12,6,3,6,4,0,0,0,0,0,0,No,No
21,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,QF,11,Casper,Ruud,Norway,Europe,22,Adrian,Mannarino,France,Europe,2,0,0,2,12,5,5,12,6,1,6,4,0,0,0,0,0,0,No,No
22,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,QF,7,Alexander,Zverev,Germany,Europe,6,Stefanos,Tsitsipas,Greece,Europe,2,0,0,2,12,8,8,12,6,4,6,4,0,0,0,0,0,0,No,No
23,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,SF,12,Alex,De Minaur,Australia,Oceania,7,Alexander,Zverev,Germany,Europe,2,1,1,2,17,14,14,17,5,7,6,3,6,4,0,0,0,0,No,No
24,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,SF,9,Hubert,Hurkacz,Poland,Europe,22,Adrian,Mannarino,France,Europe,2,0,0,2,13,8,8,13,6,3,7,5,0,0,0,0,0,0,No,No
25,1,29/12/2023,07/01/2024,United Cup,Australia,Oceania,Outdoor,Hard,United Cup,18,M,F,7,Alexander,Zverev,Germany,Europe,9,Hubert,Hurkacz,Poland,Europe,2,1,1,2,19,17,17,19,6,7,7,6,6,4,0,0,0,0,No,No
26,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q1,135,Giulio,Zeppieri,Italy,Europe,342,Omar,Jasika,Australia,Oceania,2,0,0,2,13,8,8,13,7,5,6,3,0,0,0,0,0,0,No,No
27,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q1,126,Maxime,Cressy,United States,North America,179,Ryan,Peniston,Great Britain,Europe,2,0,0,2,12,8,8,12,6,4,6,4,0,0,0,0,0,0,No,No
28,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q1,225,Li,Tu,Australia,Oceania,124,Francisco,Comesana,Argentina,South America,2,1,1,2,19,19,19,19,7,6,5,7,7,6,0,0,0,0,No,No
29,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q1,116,James,Duckworth,Australia,Oceania,277,Philip,Sekulic,Australia,Oceania,2,0,0,2,13,10,10,13,7,6,6,4,0,0,0,0,0,0,No,No
30,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q1,114,Diego,Schwartzman,Argentina,South America,658,Jacob,Bradshaw,Australia,Oceania,2,0,0,2,12,6,6,12,6,2,6,4,0,0,0,0,0,0,No,No
31,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q1,110,Aleksandar,Kovacevic,United States,North America,197,Federico,Gaio,Italy,Europe,2,0,0,2,13,8,8,13,7,6,6,2,0,0,0,0,0,0,No,No
32,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q1,170,Lukas,Klein,Slovakia,Europe,100,Quentin,Halys,France,Europe,2,0,0,2,13,10,10,13,6,4,7,6,0,0,0,0,0,0,No,No
33,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q1,98,Dominic,Thiem,Austria,Europe,272,James,McCabe,Australia,Oceania,2,1,1,2,15,16,16,15,2,6,7,6,6,4,0,0,0,0,No,No
34,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q1,97,Alex,Michelsen,United States,North America,203,Alessandro,Giannessi,Italy,Europe,2,0,0,2,12,5,5,12,6,3,6,2,0,0,0,0,0,0,No,No
35,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q1,93,Daniel Elahi,Galan,Colombia,South America,1371,Andrey,Kuznetsov,Unattached,Europe,2,0,0,2,13,8,8,13,7,5,6,3,0,0,0,0,0,0,No,No
36,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q1,84,Gregoire,Barrere,France,Europe,256,Dane,Sweeny,Australia,Oceania,2,0,0,2,12,3,3,12,6,3,6,0,0,0,0,0,0,0,No,No
37,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q1,78,Tomas,Machac,Czechia,Europe,361,Blake,Ellis,Australia,Oceania,2,0,0,2,13,8,8,13,7,6,6,2,0,0,0,0,0,0,No,No
38,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q2,170,Lukas,Klein,Slovakia,Europe,126,Maxime,Cressy,United States,North America,2,1,1,2,17,16,16,17,4,6,7,6,6,4,0,0,0,0,No,No
39,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q2,98,Dominic,Thiem,Austria,Europe,135,Giulio,Zeppieri,Italy,Europe,2,1,1,2,15,14,14,15,3,6,6,4,6,4,0,0,0,0,No,No
40,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q2,97,Alex,Michelsen,United States,North America,114,Diego,Schwartzman,Argentina,South America,2,0,0,2,12,5,5,12,6,1,6,4,0,0,0,0,0,0,No,No
41,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q2,225,Li,Tu,Australia,Oceania,93,Daniel Elahi,Galan,Colombia,South America,2,0,0,2,13,9,9,13,6,3,7,6,0,0,0,0,0,0,No,No
42,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q2,116,James,Duckworth,Australia,Oceania,84,Gregoire,Barrere,France,Europe,2,0,0,2,13,7,7,13,6,1,7,6,0,0,0,0,0,0,No,No
43,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,Q,Q2,78,Tomas,Machac,Czechia,Europe,110,Aleksandar,Kovacevic,United States,North America,2,0,0,2,12,6,6,12,6,4,6,2,0,0,0,0,0,0,No,No
44,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,48,Alexander,Shevchenko,Unattached,Europe,90,Luca,Van Assche,France,Europe,2,0,0,2,12,5,5,12,6,3,6,2,0,0,0,0,0,0,No,No
45,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,40,Alexei,Popyrin,Australia,Oceania,68,Christopher,O'Connell,Australia,Oceania,2,1,1,2,19,17,17,19,6,4,6,7,7,6,0,0,0,0,No,No
46,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,39,Roman,Safiullin,Unattached,Europe,17,Ben,Shelton,United States,North America,2,1,1,2,18,13,13,18,6,3,6,7,6,3,0,0,0,0,No,No
47,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,14,Grigor,Dimitrov,Bulgaria,Europe,42,Andy,Murray,Great Britain,Europe,2,1,1,2,17,13,13,17,4,6,7,5,6,2,0,0,0,0,No,No
48,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,8,Holger,Rune,Denmark,Europe,45,Max,Purcell,Australia,Oceania,2,1,1,2,16,12,12,16,4,6,6,4,6,2,0,0,0,0,No,No
49,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,55,Jordan,Thompson,Australia,Oceania,62,Aleksandar,Vukic,Australia,Oceania,2,0,0,2,12,5,5,12,6,3,6,2,0,0,0,0,0,0,No,No
50,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,672,Rafael,Nadal,Spain,Europe,98,Dominic,Thiem,Austria,Europe,2,0,0,2,13,6,6,13,7,5,6,1,0,0,0,0,0,0,No,No
51,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,71,Rinky,Hijikata,Australia,Oceania,65,Thanasi,Kokkinakis,Australia,Oceania,2,0,0,2,13,8,8,13,7,6,6,2,0,0,0,0,0,0,No,No
52,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,116,James,Duckworth,Australia,Oceania,53,J.J.,Wolf,United States,North America,2,0,0,2,12,7,7,12,6,3,6,4,0,0,0,0,0,0,No,No
53,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,44,Matteo,Arnaldi,Italy,Europe,59,Marton,Fucsovics,Hungary,Europe,2,1,1,2,19,17,17,19,6,7,6,4,7,6,0,0,0,0,No,No
54,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,56,Daniel,Altmaier,Germany,Europe,225,Li,Tu,Australia,Oceania,2,0,0,2,14,12,12,14,7,6,7,6,0,0,0,0,0,0,No,No
55,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,102,Jason,Kubler,Australia,Oceania,35,Aslan,Karatsev,Unattached,Europe,1,1,1,1,11,12,12,11,4,6,7,6,0,0,0,0,0,0,No,Yes
56,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,78,Tomas,Machac,Czechia,Europe,30,Tomas Martin,Etcheverry,Argentina,South America,2,1,1,2,20,18,18,20,6,7,7,5,7,6,0,0,0,0,No,No
57,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,170,Lukas,Klein,Slovakia,Europe,28,Sebastian,Baez,Argentina,South America,2,1,1,2,16,13,13,16,4,6,6,3,6,4,0,0,0,0,No,No
58,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,51,Yannick,Hanfmann,Germany,Europe,24,Sebastian,Korda,United States,North America,2,0,0,2,13,9,9,13,7,5,6,4,0,0,0,0,0,0,No,No
59,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R32,20,Ugo,Humbert,France,Europe,97,Alex,Michelsen,United States,North America,2,0,0,2,12,8,8,12,6,4,6,4,0,0,0,0,0,0,No,No
60,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R16,39,Roman,Safiullin,Unattached,Europe,40,Alexei,Popyrin,Australia,Oceania,2,1,1,2,19,17,17,19,6,7,6,4,7,6,0,0,0,0,No,No
61,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R16,116,James,Duckworth,Australia,Oceania,51,Yannick,Hanfmann,Germany,Europe,2,1,1,2,17,13,13,17,4,6,6,1,7,6,0,0,0,0,No,No
62,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R16,44,Matteo,Arnaldi,Italy,Europe,170,Lukas,Klein,Slovakia,Europe,2,1,1,2,16,15,15,16,6,4,3,6,7,5,0,0,0,0,No,No
63,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R16,8,Holger,Rune,Denmark,Europe,48,Alexander,Shevchenko,Unattached,Europe,2,1,1,2,17,13,13,17,6,4,5,7,6,2,0,0,0,0,No,No
64,2,29/12/2023,07/01/2024,Brisbane International,Australia,Oceania,Outdoor,Hard,ATP250(32),32,M,R16,672,Rafael,Nadal,Spain,Europe,102,Jason,Kubler,Australia,Oceania,2,0,0,2,12,3,3,12,6,1,6,2,0,0,0,0,0,0,No,No
